"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
,,"OTHER",,,,"0",,
