Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,4,2624.762100,126776844.850000,220
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,5,2647.917800,143724331.270000,226
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,6,2577.887100,122516242.610000,228
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,7,4055.984000,205078381.810000,320
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,8,4273.368000,220295084.220000,337
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,9,1501.250000,75752281.560000,134
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,9,5.730000,365574.000000,1
5. OTHERS,JSW H.R.SHEET,,JSW H.R.SHEET (group total — sample data),,2026,9,0.410000,25830.000000,1
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,4,292.068400,16450799.100000,49
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,5,410.595200,26918776.300000,64
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,6,474.610200,27476488.400000,93
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,7,636.020000,34422609.200000,109
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,8,871.461000,49955636.030000,106
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,9,249.800000,14908009.540000,37
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,4,462.590000,27687877.500000,101
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,5,465.470000,27819270.500000,93
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,6,506.212000,30088535.000000,107
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,7,451.000000,26865764.250000,113
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,8,356.946000,21235260.000000,85
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,9,203.710000,12694510.400000,51
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,4,1456.765000,91165840.000000,85
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,5,757.740000,44896710.000000,64
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,6,1082.700000,61569942.500000,83
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,7,531.365000,27672268.300000,58
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,8,200.060000,11203312.870000,32
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,9,167.670000,9920641.980000,13
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,4,962.625000,51563391.100000,29
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,5,866.279300,50158189.120000,35
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,6,2215.730100,124914298.990000,75
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,7,2933.456000,164164520.310000,105
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,8,2240.190000,125445569.650000,78
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,9,1159.750000,71730917.500000,42
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,4,80.625000,4671930.000000,3
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,5,113.020000,6593047.500000,3
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,6,175.440000,10686747.000000,7
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,7,169.470000,10298819.000000,5
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,9,3.580000,229120.000000,1
1. SAIL HR,SAIL HR SHEET,,SAIL HR SHEET (group total — sample data),,2026,5,21.025000,1150794.040000,3
1. SAIL HR,SAIL HR SHEET,,SAIL HR SHEET (group total — sample data),,2026,7,2.170000,125860.000000,1
5. OTHERS,SAIL P.M.PLATE,,SAIL P.M.PLATE (group total — sample data),,2026,8,5.573000,363234.000000,2
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,4,1970.382000,116761566.600000,173
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,5,1770.760000,104659813.000000,185
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,6,1569.069000,93653677.000000,201
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,7,1522.475000,89751547.500000,182
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,8,2400.317000,141546574.500000,214
2. SAIL STRUCTURAL,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,9,944.480000,58479110.700000,93
5. OTHERS,SAIL TMT,,SAIL TMT (group total — sample data),,2026,4,0.900000,50490.000000,1
5. OTHERS,SAIL TMT,,SAIL TMT (group total — sample data),,2026,5,0.430000,23220.000000,1
5. OTHERS,SAIL TMT - SEQR,,SAIL TMT - SEQR (group total — sample data),,2026,5,0.250000,13500.000000,1
