ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
NMDC000000000033,NMDC HR COIL 4.8MMX1500/HSFQ450,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,20.710000,18.000000,21.000000,,,,
NMDC000000000008,NMDC HR COIL 4MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,20.520000,0.000000,0.000000,,,,
HR000000001029,SAIL HR COIL 3.5MMX1250/E250,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,17.520000,0.000000,0.000000,,,,
CH000000000047,SAIL CHEQUERED COIL 5MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,15.920000,0.000000,0.000000,,,,
HR000000000393,SAIL HR COIL 5MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,14.549000,0.000000,0.000000,,,,
HR000000001025,AMNS HR COIL 12X2000MM/E350BR,OTHERS,8. OTHERS,38,Chennai Warehouse - COIL,11.457000,0.000000,0.000000,,,,
NMDC000000000065,NMDC HR COIL 14MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,10.988000,0.000000,0.000000,,,,
,Consumables (group total — sample data),Consumables,9. CONSUMABLES,46,Consumables,10858.290000,5.000000,1675.000000,,,,
,HR Coil (group total — sample data),HR Coil,1. SAIL HR,11,Chennai Warehouse,1170.621000,2594.484200,3134.307600,,,,
,HR Coil (group total — sample data),HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,1063.207000,307.187600,1.190000,,,,
,HR Coil (group total — sample data),HR Coil,1. SAIL HR,50,Ready to Steel,2.397000,11.873000,1.000000,,,,
,HR Coil (group total — sample data),HR Coil,1. SAIL HR,51,Pending Warehouse,146.646000,0.000000,0.000000,,,,
,JSW H.R.COIL (group total — sample data),JSW H.R.COIL,5. JSW HR,22,Salem - Subcontract Warehouse,100.130000,0.000000,0.000000,,,,
,JSW H.R.COIL (group total — sample data),JSW H.R.COIL,5. JSW HR,45,JOB WORK WAREHOUSE,91.745000,0.000000,0.000000,,,,
,JSW H.R.COIL (group total — sample data),JSW H.R.COIL,5. JSW HR,52,Chennai - Subcontract Warehouse,10.390000,0.000000,0.000000,,,,
,JSW H.R.SHEET (group total — sample data),JSW H.R.SHEET,5. JSW HR,22,Salem - Subcontract Warehouse,0.390000,0.000000,0.000000,,,,
,OTHERS (group total — sample data),OTHERS,8. OTHERS,11,Chennai Warehouse,528.840000,511.270500,58294.753600,,,,
,OTHERS (group total — sample data),OTHERS,8. OTHERS,46,Consumables,0.643000,0.000000,0.000000,,,,
,OTHERS (group total — sample data),OTHERS,8. OTHERS,50,Ready to Steel,1.000000,0.000000,0.000000,,,,
,OTHERS (group total — sample data),OTHERS,8. OTHERS,51,Pending Warehouse,22.575000,0.000000,0.000000,,,,
,RINL STRL (group total — sample data),RINL STRL,4. RINL STRL,11,Chennai Warehouse,814.979000,267.656000,388.091000,,,,
,RINL TMT (group total — sample data),RINL TMT,3. RINL TMT,11,Chennai Warehouse,718.672000,1169.936000,3874.810000,,,,
,SAIL H.R.PLATE (group total — sample data),SAIL H.R.PLATE,1. SAIL HR,07,Salem Warehouse,1.380000,400.343000,277.090000,,,,
,SAIL H.R.PLATE (group total — sample data),SAIL H.R.PLATE,1. SAIL HR,11,Chennai Warehouse,12.440000,4618.766400,13020.240000,,,,
,SAIL H.R.PLATE (group total — sample data),SAIL H.R.PLATE,1. SAIL HR,22,Salem - Subcontract Warehouse,721.951000,0.000000,0.000000,,,,
,SAIL HR COIL (group total — sample data),SAIL HR COIL,1. SAIL HR,11,Chennai Warehouse,4.420000,582.126600,9790.855000,,,,
,SAIL HR COIL (group total — sample data),SAIL HR COIL,1. SAIL HR,22,Salem - Subcontract Warehouse,1.320000,0.000000,0.000000,,,,
,SAIL HR SHEET (group total — sample data),SAIL HR SHEET,1. SAIL HR,11,Chennai Warehouse,5.731000,1288.511000,1053.518300,,,,
,SAIL HR SHEET (group total — sample data),SAIL HR SHEET,1. SAIL HR,22,Salem - Subcontract Warehouse,0.125000,0.000000,0.000000,,,,
,SAIL P.M.PLATE (group total — sample data),SAIL P.M.PLATE,8. OTHERS,11,Chennai Warehouse,14.081000,0.000000,83.115000,,,,
,SAIL STRUCTURAL (group total — sample data),SAIL STRUCTURAL,2. SAIL STRUCTURALS,11,Chennai Warehouse,2308.854000,1360.189000,79041.082000,,,,
,SAIL STRUCTURAL (group total — sample data),SAIL STRUCTURAL,2. SAIL STRUCTURALS,39,Stock In Transit,269.660000,0.000000,39.980000,,,,
,SAIL TMT (group total — sample data),SAIL TMT,7. SAIL TMT,11,Chennai Warehouse,4.480000,59.615000,7029.928000,,,,
,SAIL TMT - SEQR (group total — sample data),SAIL TMT - SEQR,7. SAIL TMT,11,Chennai Warehouse,103.103000,6.520000,20443.021000,,,,
